name,birth_year,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,retire_year,AVG,OBP,SLG,OPS
Andre Rodgers,1934,854,2521,268,628,112,23,45,245,22,20,290,507,1967,0.249107497,0.326574173,0.365331218,0.691905391
Andre Thornton,1951,1565,5291,792,1342,244,22,253,895,48,37,876,851,1987,0.253638254,0.359656235,0.451521452,0.811177686
Andrelton Simmons,1989,1226,4441,501,1169,201,23,70,444,72,24,304,461,2022,0.263229002,0.310432034,0.366133754,0.676565787
Andres Galarraga,1963,2257,8096,1195,2333,444,32,399,1425,128,81,583,2003,2004,0.288166996,0.335983408,0.498764822,0.83474823
Andres Mesa,1925,25,98,11,26,1,2,0,4,0,2,7,37,1948,0.265306122,0.314285714,0.316326531,0.630612245
Andres Mora,1954,235,700,71,156,27,2,27,83,1,1,31,149,1980,0.222857143,0.255813953,0.382857143,0.638671096
Andres Thomas,1962,577,2103,182,493,76,4,42,228,22,18,59,301,1990,0.234427009,0.255319149,0.334284356,0.589603505
Andres Torres,1982,650,1910,277,462,113,29,32,174,77,29,205,476,2013,0.241884817,0.31536643,0.381675393,0.697041823
Andrew Benintendi,1993,1031,3830,518,1034,223,20,98,493,85,29,402,759,2024,0.26997389,0.339319471,0.4154047,0.75472417
Andrew Brown,1988,144,328,37,72,14,0,14,45,3,2,28,101,2014,0.219512195,0.280898876,0.390243902,0.671142779
Andrew Knapp,1995,328,756,83,158,31,4,13,66,2,0,103,276,2024,0.208994709,0.303841676,0.312169312,0.616010989
Andrew Knizner,1996,293,804,89,169,32,0,18,85,4,1,63,204,2024,0.210199005,0.267589389,0.317164179,0.584753568
Andrew Lambo,1990,60,95,8,18,7,0,1,3,0,1,5,27,2016,0.189473684,0.23,0.294736842,0.524736842
Andrew McCutchen,1986,2127,7873,1239,2152,429,50,319,1095,219,89,1116,1775,2024,0.273339261,0.363555457,0.462085609,0.825641066
Andrew Romine,1988,613,1262,157,294,41,5,11,86,40,12,86,312,2021,0.23296355,0.28189911,0.299524564,0.581423674
Andrew Sephus,1915,14,39,6,4,0,0,0,0,2,0,11,1,1938,0.102564103,0.3,0.102564103,0.402564103
Andrew Stevenson,1995,273,432,55,105,19,2,8,50,9,4,39,134,2023,0.243055556,0.305732484,0.351851852,0.657584336
Andrew Susac,1992,114,278,31,61,17,2,7,35,0,0,25,94,2020,0.21942446,0.283828383,0.370503597,0.65433198
Andrew Toles,1993,96,231,41,66,14,1,8,35,2,2,15,49,2018,0.285714286,0.329268293,0.458874459,0.788142752
Andrew Vaughn,1998,562,2063,238,522,110,4,72,274,3,1,146,458,2024,0.253029569,0.302399276,0.414929714,0.71732899
Andrew Velazquez,1995,275,566,77,107,19,2,12,40,40,7,38,211,2023,0.189045936,0.240066225,0.293286219,0.533352444
