name,birth_year,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,retire_year,AVG,OBP,SLG,OPS
왓슨,1978,10,38,3,7,1,0,2,6,0,0,4,5,2009,0.184,0.262,0.368,0.63
용덕한,1981,653,988,106,223,36,1,9,74,7,7,59,203,2016,0.226,0.269,0.291,0.561
우경하,1957,323,854,77,192,26,3,17,70,5,12,39,136,1988,0.225,0.259,0.322,0.581
우동균,1989,355,614,87,135,28,3,9,83,11,8,94,143,2017,0.22,0.323,0.319,0.643
우드,1967,35,110,10,28,9,0,1,9,1,1,11,20,2000,0.255,0.322,0.364,0.686
우즈,1969,614,2228,412,655,90,6,174,510,27,10,358,610,2002,0.294,0.392,0.574,0.966
원원근,1967,460,1069,105,277,48,6,8,121,19,21,125,154,1995,0.259,0.337,0.338,0.674
윌리엄스,1964,37,133,22,33,7,0,12,26,0,0,25,36,2000,0.248,0.367,0.571,0.939
윌리엄스,1993,68,258,29,63,14,0,9,45,1,1,8,63,2023,0.244,0.267,0.403,0.67
윌리엄슨,1990,40,154,19,42,7,1,4,15,0,1,13,50,2019,0.273,0.329,0.409,0.738
윌슨,1990,68,231,21,58,15,0,9,37,1,2,31,60,2019,0.251,0.34,0.433,0.773
유고웅,1958,336,1024,112,251,31,6,11,91,43,21,106,93,1988,0.245,0.316,0.319,0.635
유동효,1965,435,885,103,187,33,4,17,83,10,5,108,220,1994,0.211,0.297,0.315,0.612
유두열,1956,738,2224,297,588,102,14,58,268,56,40,256,220,1991,0.264,0.34,0.401,0.741
유로결,2000,182,339,40,53,9,0,2,24,6,3,25,104,2024,0.156,0.214,0.201,0.415
유민상,1989,367,955,116,251,56,2,23,156,3,1,125,203,2021,0.263,0.348,0.398,0.746
유상빈,2000,20,52,4,15,5,0,0,4,0,1,1,12,2023,0.288,0.302,0.385,0.687
유서준,1995,59,45,16,7,1,0,1,2,4,2,2,15,2021,0.156,0.191,0.244,0.436
유선정,1986,160,273,23,55,7,1,1,27,2,1,37,59,2015,0.201,0.297,0.245,0.542
유성룡,1960,38,66,4,16,1,0,0,12,2,1,1,12,1985,0.242,0.254,0.258,0.511
유승안,1956,787,2189,238,576,85,3,92,358,15,22,264,411,1991,0.263,0.342,0.431,0.773
유영원,1969,27,55,6,10,4,1,2,6,0,0,1,21,1993,0.182,0.196,0.4,0.596
유영환,1969,80,198,16,40,4,1,2,13,2,2,10,41,1994,0.202,0.24,0.263,0.503
유재신,1987,516,395,146,102,11,5,1,40,62,26,36,99,2019,0.258,0.32,0.319,0.639
유재웅,1979,392,753,84,185,42,1,21,95,2,6,72,194,2012,0.246,0.312,0.388,0.699
유제룡,1956,77,167,17,34,3,1,0,8,5,5,14,23,1986,0.204,0.265,0.234,0.499
유지홍,1962,265,513,40,127,17,0,2,41,8,9,32,69,1990,0.248,0.292,0.292,0.584
유지훤,1955,630,1807,173,407,54,15,12,187,38,30,106,141,1988,0.225,0.268,0.292,0.56
유충돌,1967,33,53,4,10,3,0,2,6,0,0,1,20,1991,0.189,0.204,0.358,0.562
유필선,1970,179,329,54,78,16,2,6,31,4,6,34,92,2001,0.237,0.309,0.353,0.661
유한준,1981,1650,5316,717,1606,284,6,151,883,35,20,594,728,2021,0.302,0.372,0.443,0.815
유해덕,1962,61,47,10,7,1,0,0,1,3,3,4,7,1988,0.149,0.216,0.17,0.386
윤기수,1971,156,189,14,40,4,1,0,6,3,5,9,26,1996,0.212,0.247,0.243,0.491
윤덕규,1963,1275,4073,480,1161,192,48,47,438,73,55,368,490,1997,0.285,0.344,0.39,0.735
윤동균,1949,594,1963,263,560,98,21,38,277,41,22,287,194,1989,0.285,0.376,0.415,0.791
윤병호,1989,83,106,17,19,4,0,1,5,3,0,4,27,2018,0.179,0.209,0.245,0.454
윤석민,1985,941,2821,372,805,137,4,103,466,13,10,226,462,2020,0.285,0.338,0.446,0.785
윤성훈,1966,151,229,21,40,8,1,0,15,6,2,18,45,1992,0.175,0.235,0.218,0.453
윤수강,1990,67,89,8,17,7,0,1,8,0,0,5,30,2020,0.191,0.234,0.303,0.537
윤승균,1983,120,101,34,19,2,0,1,6,40,13,5,37,2006,0.188,0.226,0.238,0.464
