name,birth,AVG,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SLG,OBP,OPS,FY,LY,AY,URL
이홍식,1964,0.198,77,111,12,22,3,1,0,5,0,1,6,28,0.281,0.33,0.611,1988,1989,2,http://www.statiz.co.kr/player.php?name=%EC%9D%B4%ED%99%8D%EC%8B%9D
장호익,1965,0.147,38,68,4,10,0,0,0,2,0,0,2,6,0.147,0.183,0.33,1989,1989,1,http://www.statiz.co.kr/player.php?name=%EC%9E%A5%ED%98%B8%EC%9D%B5
정학수,1956,0.269,356,1052,137,283,52,6,6,92,28,20,141,92,1.679,1.835,3.514,1982,1989,8,http://www.statiz.co.kr/player.php?name=%EC%A0%95%ED%95%99%EC%88%98
조상헌,1964,0.212,30,52,8,11,2,0,0,2,2,2,1,10,0.283,0.255,0.538,1988,1989,2,http://www.statiz.co.kr/player.php?name=%EC%A1%B0%EC%83%81%ED%97%8C
차영화,1957,0.235,532,1236,136,290,33,4,2,75,80,41,90,100,2.051,2.219,4.27,1982,1989,8,http://www.statiz.co.kr/player.php?name=%EC%B0%A8%EC%98%81%ED%99%94
최무영,1962,0.173,66,98,11,17,3,0,2,7,2,2,9,18,1.178,1.034,2.212,1986,1989,4,http://www.statiz.co.kr/player.php?name=%EC%B5%9C%EB%AC%B4%EC%98%81
최영환,1959,0.196,135,255,22,50,7,3,4,25,0,2,18,47,1.252,1.212,2.464,1982,1989,8,http://www.statiz.co.kr/player.php?name=%EC%B5%9C%EC%98%81%ED%99%98
황윤태,1963,0.091,57,44,11,4,1,0,0,2,1,1,4,8,0.132,0.19,0.322,1987,1989,3,http://www.statiz.co.kr/player.php?name=%ED%99%A9%EC%9C%A4%ED%83%9C
금광옥,1956,0.235,413,1164,113,273,47,4,29,125,6,8,105,169,2.302,2,4.302,1982,1988,7,http://www.statiz.co.kr/player.php?name=%EA%B8%88%EA%B4%91%EC%98%A5
김경남,1959,0.209,360,852,71,178,33,8,7,61,6,5,47,120,1.647,1.539,3.186,1982,1988,7,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EA%B2%BD%EB%82%A8
김근석,1962,0.253,395,1020,92,258,45,0,14,98,8,14,57,107,1.952,1.788,3.74,1983,1988,6,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EA%B7%BC%EC%84%9D
김명구,1961,0.17,122,94,6,16,0,0,1,5,2,1,9,15,0.867,1.136,2.003,1984,1988,5,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EB%AA%85%EA%B5%AC
김무종,1954,0.24,445,1357,137,326,62,6,41,192,4,11,115,187,2.183,1.747,3.93,1983,1988,6,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EB%AC%B4%EC%A2%85
김문영,1960,0.187,192,283,24,53,10,0,1,19,4,4,16,47,1.09,1.099,2.189,1983,1988,6,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EB%AC%B8%EC%98%81
김봉연,1952,0.278,630,2145,311,596,84,8,110,334,24,18,241,187,3.33,2.475,5.805,1982,1988,7,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EB%B4%89%EC%97%B0
김영균,1961,0.231,213,394,34,91,17,1,7,39,5,4,45,69,1.551,1.552,3.103,1984,1988,5,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%98%81%EA%B7%A0
김용달,1956,0.259,315,591,66,153,28,4,12,72,7,5,77,102,2.247,2.206,4.453,1982,1988,7,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%9A%A9%EB%8B%AC
김인식,1953,0.255,662,2167,260,553,67,11,11,154,99,46,107,110,2.047,2.059,4.106,1982,1988,7,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EC%9D%B8%EC%8B%9D
김한조,1962,0.216,226,348,38,75,12,1,6,36,4,3,44,61,1.404,1.483,2.887,1984,1988,5,http://www.statiz.co.kr/player.php?name=%EA%B9%80%ED%95%9C%EC%A1%B0
박용성,1958,0.258,361,922,108,238,34,4,43,145,12,13,94,158,2.394,1.996,4.39,1982,1988,7,http://www.statiz.co.kr/player.php?name=%EB%B0%95%EC%9A%A9%EC%84%B1
박철영,1960,0.211,200,379,39,80,19,3,5,36,3,4,34,97,1.804,1.648,3.452,1983,1988,6,http://www.statiz.co.kr/player.php?name=%EB%B0%95%EC%B2%A0%EC%98%81
손상득,1956,0.234,236,381,51,89,6,4,2,35,14,5,20,57,1.458,1.374,2.832,1982,1988,7,http://www.statiz.co.kr/player.php?name=%EC%86%90%EC%83%81%EB%93%9D
송영운,1952,0.262,354,817,80,214,30,4,2,83,20,19,103,87,1.932,2.267,4.199,1982,1988,7,http://www.statiz.co.kr/player.php?name=%EC%86%A1%EC%98%81%EC%9A%B4
오덕환,1959,0.201,198,344,23,69,7,0,0,16,4,4,21,34,0.657,0.752,1.409,1986,1988,3,http://www.statiz.co.kr/player.php?name=%EC%98%A4%EB%8D%95%ED%99%98
우경하,1957,0.225,323,854,77,192,26,3,17,70,5,12,39,136,1.654,1.45,3.104,1983,1988,6,http://www.statiz.co.kr/player.php?name=%EC%9A%B0%EA%B2%BD%ED%95%98
유고웅,1958,0.245,336,1024,112,251,31,6,11,91,43,21,106,93,1.254,1.26,2.514,1985,1988,4,http://www.statiz.co.kr/player.php?name=%EC%9C%A0%EA%B3%A0%EC%9B%85
유지훤,1955,0.225,630,1807,173,407,54,15,12,187,38,30,106,141,2.021,1.91,3.931,1982,1988,7,http://www.statiz.co.kr/player.php?name=%EC%9C%A0%EC%A7%80%ED%9B%A4
유해덕,1962,0.149,61,47,10,7,1,0,0,1,3,3,4,7,0.295,0.353,0.648,1986,1988,3,http://www.statiz.co.kr/player.php?name=%EC%9C%A0%ED%95%B4%EB%8D%95
이해창,1953,0.271,577,1873,317,508,88,19,32,182,144,81,225,239,2.331,2.121,4.452,1983,1988,6,http://www.statiz.co.kr/player.php?name=%EC%9D%B4%ED%95%B4%EC%B0%BD
