name,birth,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,active_year,pic_url,first_year,last_year,AVG,OBP,SLG,OPS
고메즈,1988,117,456,74,129,31,0,21,223,62,16,8,25,5,87,11,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66805.jpg,2016,2016,0.283,0.32,0.489,0.809
고영민,1984,879,2306,427,581,100,15,46,849,292,133,47,278,84,553,49,14,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/72214.jpg,2002,2016,0.252,0.332,0.368,0.701
고원부,1962,594,1881,239,526,71,9,37,726,245,52,33,229,16,159,59,7,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/86781.jpg,1986,1992,0.28,0.358,0.386,0.744
고장혁,1990,291,239,61,45,10,1,1,60,15,12,8,12,5,64,3,7,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63636.jpg,2013,2020,0.188,0.227,0.251,0.478
고정식,1965,76,122,12,30,4,0,0,34,5,1,0,9,1,17,5,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/88571.jpg,1988,1993,0.246,0.298,0.279,0.576
고종욱,1989,1060,3159,480,955,163,36,47,1331,397,128,60,170,17,661,54,12,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/61353.jpg,2011,2024,0.302,0.338,0.421,0.759
고지행,1978,119,320,43,86,9,0,6,113,35,9,5,21,3,79,9,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/73732.jpg,2003,2005,0.269,0.314,0.353,0.667
공민규,1999,77,117,5,23,2,1,4,39,12,0,0,10,4,50,2,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68407.jpg,2019,2024,0.197,0.26,0.333,0.593
공봉구,1967,48,104,11,23,7,1,0,32,8,2,1,17,0,16,3,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/90018.jpg,1991,1991,0.221,0.331,0.308,0.638
공유선,1974,13,34,1,7,1,0,1,11,3,0,0,3,0,9,0,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/93265.jpg,1994,1994,0.206,0.27,0.324,0.594
공의식,1970,168,313,35,60,12,2,12,112,42,10,7,48,5,108,6,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/93336.jpg,1993,1997,0.192,0.299,0.358,0.657
공필성,1967,1184,3061,363,760,151,26,41,1086,346,106,46,276,94,581,61,11,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/90581.jpg,1990,2000,0.248,0.31,0.355,0.665
곽권희,1966,159,275,35,63,12,1,5,92,27,4,4,28,2,60,5,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/88373.jpg,1988,1992,0.229,0.3,0.335,0.635
곽동열,1955,42,47,7,14,3,0,1,20,4,0,0,1,2,10,1,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/88771.jpg,1988,1989,0.298,0.312,0.426,0.738
곽연수,1967,300,648,47,140,27,4,8,199,61,1,4,48,8,94,17,6,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/89272.jpg,1989,1994,0.216,0.27,0.307,0.577
구드럼,1992,50,173,16,51,14,1,0,67,28,0,0,23,1,46,6,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/53506.jpg,2023,2023,0.295,0.378,0.387,0.765
구윤,1963,399,971,101,240,49,2,13,332,104,21,23,75,14,260,13,9,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/86472.jpg,1986,1994,0.247,0.301,0.342,0.643
구재서,1963,247,33,61,4,1,0,0,5,2,10,7,2,1,5,2,6,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/82243.jpg,1982,1989,0.121,0.171,0.152,0.323
구천서,1963,840,1864,269,455,61,16,22,614,177,75,37,245,35,330,29,12,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/82273.jpg,1982,1993,0.244,0.332,0.329,0.661
구한성,1970,161,230,27,45,4,0,6,67,21,1,0,26,4,51,3,6,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/92609.jpg,1992,1998,0.196,0.277,0.291,0.569
국해성,1989,220,424,65,101,22,0,11,156,67,3,2,44,9,110,11,9,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/79290.jpg,2012,2023,0.238,0.31,0.368,0.678
권도영,1981,166,259,29,62,13,1,1,80,18,1,2,24,3,59,5,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/73363.jpg,2007,2010,0.239,0.304,0.309,0.613
권두조,1951,588,1603,149,352,53,9,1,426,112,24,31,157,22,159,34,6,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/95576.jpg,1982,1987,0.22,0.289,0.266,0.555
권민석,1999,105,69,17,16,4,0,0,20,8,1,0,4,0,24,0,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/68204.jpg,2020,2023,0.232,0.274,0.29,0.564
권영진,1984,35,41,1,7,0,0,1,10,3,0,0,1,0,5,1,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/78863.jpg,2008,2012,0.171,0.19,0.244,0.434
권오성,1970,119,180,13,34,5,0,2,45,19,0,0,15,7,51,4,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/96635.jpg,1996,1999,0.189,0.251,0.25,0.501
권오영,1970,41,66,6,12,2,0,1,17,9,0,0,1,1,19,1,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/96750.jpg,1996,1999,0.182,0.194,0.258,0.452
권오현,1978,103,144,17,26,10,1,1,41,3,6,2,6,7,42,3,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71509.jpg,2001,2003,0.181,0.213,0.285,0.498
권용관,1976,1325,3070,348,698,102,28,47,997,300,62,37,198,68,730,64,19,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/95158.jpg,1996,2016,0.227,0.274,0.325,0.599
권재광,1971,64,100,8,14,2,0,1,19,8,1,0,6,1,26,1,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/93557.jpg,1993,1996,0.14,0.189,0.19,0.379
권정웅,1992,75,110,12,22,3,0,6,43,11,0,0,9,1,31,4,5,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65412.jpg,2016,2021,0.2,0.261,0.391,0.651
권준헌,1971,485,1322,127,338,59,5,17,458,133,26,18,87,4,250,39,12,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/90315.jpg,1990,2004,0.256,0.302,0.346,0.648
금광옥,1956,413,1164,113,273,47,4,29,415,125,6,8,105,8,169,22,7,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/95901.jpg,1982,1988,0.235,0.298,0.357,0.654
길홍규,1965,365,591,55,150,17,0,8,191,66,8,6,50,1,97,25,9,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/88271.jpg,1988,1996,0.254,0.312,0.323,0.635
김갑중,1970,224,437,42,108,20,4,4,148,41,6,9,25,5,79,15,5,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/93314.jpg,1993,1999,0.247,0.288,0.339,0.627
김강,1988,30,51,2,15,3,0,0,18,5,0,0,5,1,13,1,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/77733.jpg,2007,2011,0.294,0.357,0.353,0.71
