plcyNm,plcyExplnCn,plcySprtCn,aplyYmd,aplyUrlAddr,sprtTrgtMinAge,sprtTrgtMaxAge,lclsfNm,mclsfNm
해외산림청년인재 육성,산림분야 해외 근무지 파견을 통한 글로벌 인재 육성,"o 해외산림청년인재 파견 지원
  - 체재비, 항공료, 파견준비비 등

o 해외산림청년인재 역량강화
  - 안전교육, 어학교육, 전공교육, 현장학습 등",,,19,34,일자리,취업
청년 직장 성폭력 근절,"교육기회, 접근성 부족 청년 등 대상 찾아가는 폭력예방교육 실시","(목적) 교육 기회 및 접근성 부족 청년 등 대상 찾아가는 폭력예방교육 실시를 통한 직장 내 성폭력 예방 인식 확산 지원
(주요내용) 소규모 사업장 소속 사회초년생, 취업 준비 청년 등 교육 기회 및 접근성 부족 청년 대상 찾아가는 폭력예방교육 실시",,,0,0,일자리,재직자
위기청년 자립지원(시설퇴소청소년 자립지원수당 지원),"청소년복지시설 퇴소청소년에게 최장 5년, 월 50만원 자립지원수당 지원","청소년복지시설 퇴소청소년에게 최장 5년, 월 50만원 자립지원수당을 지급하여 안정적인 자립기반 마련 지원
 - 대상 : 만 18세 이후 퇴소하여 퇴소일(또는) 사례관리일 기준, 쉼터 입소기간 또는 청소년자립지원관 사례관리 기간을 합산하여 과거 3년 동안 2년 이상 보호받은 자(직전 6개월은 연속하여 보호받았을 것)",,,18,29,복지문화,취약계층 및 금융지원
창조경제혁신센터 멘토링 프로그램 운영,창조경제혁신센터를 통해 분야별 전문가 멘토링 및 창업상담 제공,창조경제혁신센터를 통해 분야별 전문가 멘토링 및 창업상담 제공,,,0,0,일자리,창업
청년창업기업 보증,청년창업기업 맞춤형 보증지원,"청년창업기업에 대한 보증료 감면, 보증비율 상향, 산정특례 등",,,17,39,일자리,창업
청년전용창업자금,청년창업기업 성장을 위한 자금 지원,"신용 및 담보력이 부족한 청년 창업가를 대상으로 원부자재 구임, 인건비, 시설자금 등 융자 지원",,,0,39,일자리,창업
제조창업활성화(메이커스페이스 지원),메이커 저변확대 및 제조창업 촉진을 위한 사업비 지원,메이커 스페이스 공간 및 시제품 제작 등 제조창업활성화 지원,,,0,0,일자리,창업
TIPS(팁스) 프로그램,"유망 기술창업기업의 사업화, 마케팅 자금 지원","창업기획자, 초기전문 VC 등 민간이 발굴한 유망 기술창업기업 지원",,,0,0,일자리,창업
방위산업 전문인력 양성 지원사업,산업 현장의 수요에 기반한 전문인력 양성 및 청년 일자리 창출을 통해 방위산업의 발전 생태계 조성을 지원하는 사업,"○ (인력양성) 청년층 대상 방위산업 전문교육 운영 및 취업연계 지원
  - (연구개발인력) 방위산업 계약학과 석·박사 학위과정 운영('25년 기준 국방우주 및 국방무인로봇·AI 분야 학과운영)
  - (실무·기능인력) 대졸미취업자 대상 방산 전문교육과정(6개월) 및 직업계고 학생 대상 기업맞춤형 방산 교육과정(120hr) 운영",,,19,34,일자리,취업
청년 기술평가체험단,청년구직자의 취업역량 제고와 중소기업에 대한 인식개선을 위해 중소기업 기술평가 현장 탐방 지원,기술보증기금 기업 평가 과정 체험 지원,,,0,0,일자리,취업
