카드ID,카드이름,카드사,국내연회비,해외연회비,주요혜택
22,카카오페이 신한카드,신한카드,"12,000","12,000","카카오페이: 카카오페이 결제금액 20% 할인
소셜커머스: 쿠팡 10% 할인
카페: 스타벅스, 커피빈 10% 할인
영화: CGV, 메가박스, 롯데시네마 10% 할인
대중교통: 버스, 지하철 이용금액 10% 할인
유의사항: 꼭 확인하세요!"
23,신한카드 Always FAN,신한카드,,,"간편결제: 신한 FAN페이(앱카드) 온라인 거래 5% 결제일 할인
편의점: 3대 편의점 10% 결제일 할인
드럭스토어: 올리브영 10% 결제일 할인
카페/디저트: 커피전문점/제과점 업종 30%~50% 할인
영화: CGV 영화 예매 8천원 할인
렌터카: 쏘카(SOCAR) 거래 10% 할인
유의사항: 꼭 확인하세요!"
24,EDIYA 신한카드 Tasty,신한카드,,"10,000","카페: EDIYA COFFEE 50% 결제일 할인
쇼핑: Trendy 서비스 - 쇼핑, 다이닝, 몰링
영화: Young Life 서비스 - 영화, 영푸드
유의사항: 꼭 확인하세요!"
25,신한카드 Noon,신한카드,,"8,000","점심: 점심시간 요식업종 가맹점 30% 할인
카페/디저트: 커피전문점/제과점 업종 가맹점 2,000원 할인
통신: 이동통신요금 자동이체 3,000원 할인
택시: 택시요금 20% 할인
해외: 해외 직구몰 등 해외 할인
유의사항: 꼭 확인하세요!"
26,신한카드 Edu,신한카드,,"23,000","교육/육아: 일반전문학원, 학습지, 유치원 업종 캐시백
공과금: 아파트 관리비 자동이체 매월 5,000원 캐시백
생활: 주요 생활업종 이용시 1% 캐시백
유의사항: 꼭 확인하세요!"
27,아시아나 신한카드 Air 1.5,신한카드,"43,000","45,000","아시아나항공: 이용금액 1,000원당 1.5~3 아시아나 마일리지 적립
공항라운지: 국내 공항라운지 무료 이용(mastercard PLATINUM)
프리미엄: mastercard PLATINUM  서비스 제공
유의사항: 꼭 확인하세요!"
28,신세계 신한카드,신한카드,,"12,000","백화점: 신세계백화점 5% 결제일 할인
생활: Life Care가맹점 5% 결제일 할인
테마파크: 롯데월드, 서울랜드 자유이용권 50% 할인
해외: 해외 매출 5% 캐시백
유의사항: 꼭 확인하세요!"
29,TLX PASS 신한카드,신한카드,,"15,000","피트니스: TLX PASS 20% 결제일 할인
쇼핑: SPA 브랜드/H&B Store 10% 결제일 할인
영화: CGV, 롯데시네마, 메가박스 4,000원 결제일 할인
카페: 커피업종 이용시 20% 결제일 할인
유의사항: 꼭 확인하세요!"
30,모바일 Tmoney 신한카드,신한카드,,"10,000","교통: 모바일 Tmoney App으로 이용 시 20% 할인
카페/디저트: 스타벅스 사이렌 오더 50% 할인
홈쇼핑: 홈쇼핑 5% 할인
통신: 통신요금 자동이체 시 5% 할인
OTT/영화/문화: CGV, 온라인 서점 할인
유의사항: 꼭 확인하세요!"
31,신한카드 All Pass,신한카드,,"10,000","고속버스: 고속·시외 버스요금 30%, 10% 결제일 할인
교통: 지하철·시내버스 후불교통, 택시 이용금액 10% 할인
편의점: 편의점 10% 할인
카페/디저트: 커피전문점 20% 할인
OTT/영화/문화: CGV영화 4,000원 할인
유의사항: 꼭 확인하세요!"
32,신한카드 Deep Dream,신한카드,,"8,000","모든가맹점: 모두드림 - 전월 실적/적립 한도 없이 국내/외 신판(일시불+할부)이용 가맹점 0.7% 포인트 적립
생활: 더해드림 - 자주 가는 DREAM영역은 기본의 3배(총 2.1%) 포인트 적립
생활: 챙겨드림 - DREAM영역 중 가장 많이 이용한 영역 기본의 5배(총 3.5%) 포인트 자동적립
주유: 주말(토, 일) 전 주유소 리터당 80원 적립
택시: 택시 3, 6, 9번째 2,000원 할인
적립: 반겨드림 5,000포인트 적립
유의사항: 꼭 확인하세요!"
33,신한카드 The CLASSIC-L,신한카드,,"105,000","바우처: LEISURE Option Service
무실적: 캐시백 / 대한항공 마일리지 / 아시아나항공 마일리지 [택 1]
카페: 커피 무료 서비스
주유: GS칼텍스 주유 시 리터당 40원 결제일 할인
쇼핑: LG패션/오케이아웃도어닷컴/Outdous 5% 할인 서비스
테마파크: 테마파크 할인 서비스
항공권: JDC 면세점 / 아시아나, 이스타 항공 할인
공항: 인천공항 무료 발렛파킹 서비스 제공
경기관람: 프로야구 및 프로농구 홈 경기의 입장권 결제 시 할인혜택 제공
영화: 맥스무비/인터파크/YES24 온라인 영화 예매 시 할인혜택 제공"
