카드ID,카드이름,카드사,국내연회비,해외연회비,주요혜택
1477,싸이월드 롯데카드,롯데카드,"5,000","10,000","기타: 싸이월드 도토리 최대 100개 제공
기타: 싸이월드 마우스 효과 및 스킨 제공
기타: 전화영어교육 할인 및 연회비 면제, SMS 무료 서비스
헤어: 미용실 최대 20% 할인
경기관람: 롯데 자이언츠 20% 할인
쇼핑: 롯데백화점 5% 할인 e-쿠폰 및 무료 주차권 제공
공연/전시: 뮤지컬, 연극 등 공연 10~30% 할인
주유소: SK주유소 리터당 SK주유포인트 50원적립
기타: 포인트 적립
유의사항: 꼭 확인하세요!"
1478,쌍용자동차 오토 플러스카드,롯데카드,"5,000","6,000","정비: 쌍용차 지정 AS센터 5%할인 (한도 : 1만원/월)
보험: 롯데손해보험 자동차 보험료 할인
무이자할부: 오토세이브 이용 시, 1200만원 한도 6개월 무이자 할부
헤어: 미용실 최대 20% 할인
경기관람: 롯데 자이언츠 20% 할인
쇼핑: 롯데백화점 5% 할인 e-쿠폰 및 무료 주차권 제공
주유소: SK주유소 리터당 SK주유포인트 50원 적립
기타: 포인트 적립
OTT/영화/문화: 영화/공연 할인
푸드: 외식 10% 할인
유의사항: 꼭 확인하세요!"
1479,썸뱅크 롯데 체크카드,롯데카드,,,"기타: 썸뱅크 롯데 체크카드만의 L.POINT 적립서비스
기타: 쓰는 만큼 늘어나는 L.POINT 적립 한도
기타: 포인트 적립기준
기타: SUM Bank 현금 입출금 카드 기능
기타: L.POINT"
1480,썸뱅크 롯데백화점 카드,롯데카드,"10,000","10,000","백화점: 롯데백화점 15% 청구할인 서비스
백화점: 롯데백화점 12개월 할부서비스
기타: 차년도 연회비 면제 서비스, 썸뱅크 현금 입출금 카드 기능
헤어: 미용실 최대 20% 할인
경기관람: 롯데 자이언츠 20% 할인
쇼핑: 롯데백화점 5% 할인 e-쿠폰 및 무료 주차권 제공
공연/전시: 뮤지컬, 연극 등 공연 10~30% 할인
유의사항: 꼭 확인하세요!"
1481,썸뱅크 롯데카드,롯데카드,"2,000","3,000","기타: 썸뱅크 롯데카드만의 L.POINT 적립서비스
기타: 쓰는만큼 늘어나는 L.POINT 적립 한도
기타: 포인트 적립기준
기타: 썸뱅크 현금 입출금 카드 기능
기타: L.POINT
유의사항: 꼭 확인하세요!"
1482,씨앤앰 롯데DC플러스카드,롯데카드,"10,000","10,000","기타: 씨앤앰 이용요금 5천원 할인 및 롯데멤버스제휴사 1만5천원 할인
무이자할부: 학원, 병/의원 업종 이용 시 2~3개월 무이자 할부서비스
헤어: 미용실 최대 20% 할인
경기관람: 롯데 자이언츠 20% 할인
쇼핑: 롯데백화점 5% 할인 e-쿠폰 및 무료 주차권 제공
공연/전시: 뮤지컬, 연극 등 공연 10~30% 할인
주유소: SK주유소 리터당 SK주유포인트 50원 적립
기타: L.POINT 적립 0.1%~3% 적립
유의사항: 꼭 확인하세요!"
1483,아름다운가게 롯데카드,롯데카드,"5,000","10,000","기타: 아름다운 가게 사랑의 후원금 기부
기타: 롯데백화점 5% 할인 e쿠폰 제공 및 무이자 할부
연회비지원: 연회비 면제 서비스
헤어: 미용실 최대 20% 할인
경기관람: 롯데 자이언츠 20% 할인
쇼핑: 롯데백화점 5% 할인 e-쿠폰 및 무료 주차권 제공
OTT/영화/문화: 영화/공연 할인
주유소: SK주유소 리터당 SK주유포인트 50원 적립
기타: 포인트 적립
유의사항: 꼭 확인하세요!"
1484,박승철헤어스투디오 롯데카드,롯데카드,,"5,000","헤어: 박승철헤어스투디오 최대 30% 할인
멤버십포인트: 더블 포인트 적립 서비스
뷰티/피트니스: 마리프랑스 바디라인·스벤슨 10% 할인
쇼핑: 백화점 및 면세점 최대 10% 할인
OTT/영화/문화: 롯데시네마 1,500원 할인
테마파크: 롯데월드 종합이용권 50% 할인
푸드: 외식 최대 15% 할인
주유: SK주유소 리터당 SK주유포인트 50원적립
유의사항: 꼭 확인하세요!"
1485,벅스 롯데체크카드,롯데카드,,,"음원사이트: Bugs  3% 할인
연회비지원: 연회비 면제 및 SMS 무료 서비스
헤어: 미용실 최대 20% 할인
테마파크: 테마파크 최대 50% 할인
레저/스포츠: 롯데 자이언츠 20% 할인
쇼핑: 롯데멤버스 제휴사 최대 10% 할인
여행/숙박: 여행서비스 관련 최대 7% 할인
푸드: 외식 10% 할인
주유: SK주유소 리터당 SK주유포인트 50원적립
멤버십포인트: L.POINT 적립
유의사항: 꼭 확인하세요!"
1486,벅스 롯데카드,롯데카드,,"7,000","음원사이트: Bugs  3% 할인
헤어: 미용실 최대 20% 할인
레저/스포츠: 롯데 자이언츠 20% 할인
OTT/영화/문화: 뮤지컬, 연극 등 영화/공연 최대 30% 할인
주유: SK주유소 리터당 SK주유포인트 50원적립
멤버십포인트: L.POINT 적립
유의사항: 꼭 확인하세요!"
1487,IBK 무직타이거 카드(신용),IBK기업은행,"10,000","12,000","대중교통: 버스, 지하철 이용건당 200원 할인
주유: 전 주유소 리터당 60원 할인(LPG 포함)
마트/편의점: GS25, CU, 세븐일레븐, 올리브영 10% 할인
이마트, 홈플러스, 롯데마트 5% 할인
온라인쇼핑: 쿠팡, 티몬, 위메프 20% 할인
영화: CGV, 메가박스, 롯데시네마 1만원 할인
카페: 주요 커피전문점 20% 할인
금융: 금융우대서비스(각종 이체수수료 면제 등)
테마파크: 놀이공원 할인
유의사항: 꼭 확인하세요!"
1488,법률소비자연맹 포인트플러스 롯데체크카드,롯데카드,,,"기타: 변호사, 노무사, 세무사 수임료 10% 할인
멤버십포인트: 더블 포인트 적립 서비스
헤어: 미용실 최대 20% 할인
테마파크: 테마파크 최대 50% 할인
레저/스포츠: 롯데 자이언츠 20% 할인
쇼핑: 롯데멤버스 제휴사 최대 10% 할인
OTT/영화/문화: 롯데시네마 관람료 1,500원 청구할인
푸드: 외식 10% 할인
주유: SK주유소 리터당 SK주유포인트 50원적립
멤버십포인트: L.POINT 적립
유의사항: 꼭 확인하세요!"
1489,법률소비자연맹 포인트플러스 롯데카드,롯데카드,"5,000","8,000","기타: 변호사, 노무사, 세무사 수임료 10% 할인
멤버십포인트: 더블 포인트 적립 서비스
헤어: 미용실 최대 20% 할인
레저/스포츠: 롯데 자이언츠 20% 할인
쇼핑: 롯데멤버스 제휴사 최대 10% 할인
OTT/영화/문화: 롯데시네마 관람료 1,500원 청구할인
주유: SK주유소 리터당 SK주유포인트 50원적립
멤버십포인트: L.POINT 적립
유의사항: 꼭 확인하세요!"
1490,IBK 무직타이거 카드(체크),IBK기업은행,,,"대중교통: 버스, 지하철 이용건당 100원 할인
편의점: GS25, CU, 세븐일레븐, 올리브영 5% 할인
온라인쇼핑: 쿠팡, 티몬, 위메프 10% 할인
영화: CGV, 메가박스, 롯데시네마 4천원 할인
카페: 주요 커피전문점 10% 할인
금융: 금융우대서비스(결제계좌를 IBK 기업은행 입출식 통장으로 이용 시)
테마파크: 놀이공원 최대 50% 할인 (월 1회, 연 2회 제공)
유의사항: 꼭 확인하세요!"
1491,베페 롯데카드,롯데카드,"5,000","8,000","기타: 베페몰 최대 5만원 청구할인
공연/전시: 베페 베이비페어 전시회 전일 무료입장
헤어: 미용실 최대 20% 할인
레저/스포츠: 롯데 자이언츠 20% 할인
쇼핑: 롯데멤버스 제휴사 최대 10% 할인
OTT/영화/문화: 뮤지컬, 연극 등 영화/공연 최대 30% 할인
푸드: 외식 10% 할인
주유: SK주유소 리터당 SK주유포인트 50원적립
멤버십포인트: L.POINT 적립
유의사항: 꼭 확인하세요!"
1492,보령메디앙스 맘 & 데디(Mom & Daddy) 카드,롯데카드,,"7,000","멤버십포인트: 보령메디앙스 기프트 10만 선 지급 포인트 제공
교육/육아: 놀이시설 50%할인, 육아용품할인 서비스
정비: SpeedMate 자동차무상정비 및 선, 후불 교통서비스
헤어: 미용실 최대 20% 할인
테마파크: 테마파크 최대 50% 할인
쇼핑: 롯데멤버스 제휴사 최대 10% 할인
여행/숙박: 롯데카드 여행서비스 최대 7% 할인
OTT/영화/문화: 뮤지컬, 연극 등 공연 최대 30% 할인
푸드: 외식 10% 할인
주유: SK주유소 리터당 SK주유포인트 50원적립
멤버십포인트: 국내 및 해외 가맹점에서 사용한 금액에 대해 L.POINT  0.2% 적립
주유: SK주유소 리터당 SK주유포인트 50원적립
유의사항: 꼭 확인하세요!"
1493,위메프페이 체크카드,KB국민카드,,,"쇼핑: 위메프페이결제 1%적립
쇼핑: 위메프오 1% 적립
편의점: GS25편의점 2% 적립
카페/디저트: 커피제과업종 5% 적립
디지털구독: 구독서비스 10%적립
유의사항: 꼭 확인하세요!"
1494,신라면세점 멤버십 삼성카드 S클래스,삼성카드,"15,000","20,000","멤버십포인트: 우수회원 우대서비스
멤버십포인트: S포인트 적립 및 사용
멤버십포인트: S선포인트 사용
푸드: CJ푸드빌 20% 할인
영화: 영화 할인
테마파크: 주요 놀이공원 입장권 및 자유이용권 할인
경기관람: 프로스포츠 프로모션 서비스
공연/전시: 삼성미술관 리움 일반 입장권 할인
정비: 닥터카서비스
여행/숙박: 아멕스 서비스
유의사항: 꼭 확인하세요!"
1495,삼성화재 멤버십 삼성카드 S클래스,삼성카드,"15,000","20,000","보험: 삼성화재 자동차보험료 5%·10% 결제일할인
멤버십포인트: 우수회원 우대서비스
멤버십포인트: S포인트 적립 및 사용
멤버십포인트: S선포인트 사용
푸드: CJ푸드빌 20% 현장할인
영화: 영화 할인
테마파크: 주요 놀이공원 입장권 및 자유이용권 할인
경기관람: 프로스포츠 프로모션 서비스
정비: 닥터카서비스
공연/전시: 삼성미술관 리움 입장권 할인
여행/숙박: 아멕스 서비스
유의사항: 꼭 확인하세요!"
1496,삼성화재theS 삼성카앤모아카드,삼성카드,"8,000","10,000","보험: 삼성화재 자동차보험료 10% 할인 및 무이자할부
주유: 모든 주유소 리터당30원·60원 할인
멤버십포인트: 0.2%~0.4% U포인트 적립
정비: 닥터카서비스
경기관람: 프로스포츠 프로모션 서비스
영화: CGV 동반 1인 50% 할인
카페: 스타벅스 1,000원 할인
여행/숙박: 삼성카드여행센터 할인
유의사항: 꼭 확인하세요!"
1497,삼성카드,삼성카드,"3,000","5,000","주유: S-OIL 리터당 40 보너스포인트 적립
경기관람: 프로스포츠 프로모션 서비스
유의사항: 꼭 확인하세요!"
1498,SK에너지 삼성카드 4,삼성카드,"12,000","17,000","주유: SK에너지 리터당 65원 결제일할인
경기관람: 프로스포츠 프로모션 서비스
모든가맹점: 모든 가맹점 0.7% 결제일할인
OTT/영화/문화: 모든 영화관 2,500원 결제일할인
유의사항: 꼭 확인하세요!"
1499,삼성카드 4+,삼성카드,"55,000","60,000","기타: 웰컴기프트 
경기관람: 프로스포츠 프로모션 서비스
모든가맹점: 모든 가맹점 0.7~1% 결제일할인
OTT/영화/문화: 모든 영화관 2,500원 결제일할인
테마파크: 주요 놀이공원 입장권 및 자유이용권 할인
정비: 닥터카서비스
주유: GS칼텍스 리터당 90~100포인트 적립
패밀리레스토랑: 아웃백 30% 할인
여행/숙박: 아멕스 서비스
유의사항: 꼭 확인하세요!"
1500,삼성카드 4 V2,삼성카드,"18,000","20,000","영화: 모든 영화관 3,000원 결제일할인
경기관람: 프로스포츠 프로모션 서비스
모든가맹점: 모든 가맹점 0.6% 결제일할인
생활: 할인점·음식점·주유소·병원·약국 1.2% 결제일할인
여행/숙박: 아멕스 서비스
유의사항: 꼭 확인하세요!"
1501,주니어라이프 체크카드,KB국민카드,,,"패밀리레스토랑: 아웃백·VIPS·TGIF·세븐스프링스
주중 10%, 주말 15% 환급할인
영화: CGV·메가박스 20% 환급할인
테마파크: 에버랜드·서울랜드·롯데월드 30% 환급할인
카페: 커피빈 주중 5%, 주말 10% 환급할인
제주항공: 제주항공 10% 환급할인
헤어: 박승철헤어스투디오·올리브영 10% 환급할인
도서: 교보문고 3% 환급할인
편의점: GS25 5% 환급할인
금융: 금융수수료 면제 서비스
교통: 티머니 서비스
유의사항: 꼭 확인하세요!"
1502,청춘대로 싱글 레터링 체크카드(긁으면),KB국민카드,,,"편의점: 편의점 업종 5~10% 환급할인
쇼핑: 다이소/소셜커머스 5~10% 환급할인
해외: 해외이용/해외직구 할인캐시백 5%
교통: 택시 5% 환급할인
대중교통 5% 환급할인
기타: 올리브영·박승철헤어스투디오/동물병원 10% 환급할인
여행사: 라이프샵 여행 해외패키지 3% 현장할인"
1503,북피니언 롯데카드,롯데카드,"7,000","12,000","도서: 인터파크 도서 결제 시 10~30% 할인 및 쿠폰 제공
헤어: 미용실 최대 20% 할인
테마파크: 테마파크 최대 50% 할인
레저/스포츠: 롯데 자이언츠 20% 할인
쇼핑: 롯데멤버스 제휴사 최대 10% 할인
OTT/영화/문화: 뮤지컬, 연극 등 영화/공연 최대 30% 할인
푸드: 외식 10% 할인
주유: SK주유소 리터당 SK주유포인트 50원적립
멤버십포인트: L.POINT 적립
유의사항: 꼭 확인하세요!"
1504,청춘대로 싱글 레터링 체크카드(잘사는),KB국민카드,,,"편의점: 편의점 업종 5~10% 환급할인
쇼핑: 다이소/소셜커머스 5~10% 환급할인
해외: 해외이용/해외직구 할인캐시백 5%
교통: 택시 5% 환급할인
대중교통 5% 환급할인
기타: 올리브영·박승철헤어스투디오/동물병원 10% 환급할인
여행사: 라이프샵 여행 해외패키지 3% 현장할인"
1505,청호나이스 KB국민카드,KB국민카드,,"12,000","렌탈 : 청호나이스 렌탈료 자동이체 시 1만1천원~2만원 청구할인
영화: 인터파크 영화 예매 시 3,500원 할인 적용
테마파크: 테마파크 최대 50% 할인
유의사항: 꼭 확인하세요!"
1506,삼성카드 4+ V2,삼성카드,"38,000","40,000","기타: 연간 1천만원당 20,000원 결제일할인
주유: 주유 5만원당 1,000원 결제일할인
모든가맹점: 모든 가맹점 0.6% 결제일할인
할인: 할인점·음식점·주유소·병원·약국 1.2% 결제일할인
영화: 모든 영화관 3,000원 결제일할인
경기관람: 프로스포츠 프로모션 서비스
여행/숙박: 아멕스 서비스
유의사항: 꼭 확인하세요!"
1507,우체국 롯데체크카드,롯데카드,,,"기타: 우체국 이용 시 10% 할인
기타: 현금카드 기능 및 Cash-Back 서비스
연회비지원: 연회비 면제 및 SMS 무료 서비스
기타: L.POINT 적립
유의사항: 꼭 확인하세요!"
1508,동부저축은행 삼성체크카드,삼성카드,,,"캐시백: 0.7% 금융포인트 캐시백
경기관람: 프로스포츠 프로모션 서비스
주유: S-OIL 리터당 40 보너스포인트 적립
은행사: 제휴사 기본서비스
유의사항: 꼭 확인하세요!"
1509,불멸코리아 롯데체크카드,롯데카드,,,"병원/약국: 각종 질병 검사 비용 20% 할인
공연/전시: 공연초대 30% 예매할인
여행/숙박: 전국펜션 5% 할인
연회비지원: 연회비 면제 및 SMS 무료 서비스
헤어: 미용실 최대 20% 할인
테마파크: 테마파크 최대 50% 할인
레저/스포츠: 롯데 자이언츠 20% 할인
쇼핑: 롯데멤버스 제휴사 최대 10% 할인
여행/숙박: 롯데카드 여행서비스 최대 7% 할인
푸드: 외식 10% 할인
주유: SK주유소 리터당 SK주유포인트 50원적립
멤버십포인트: L.POINT 적립
유의사항: 꼭 확인하세요!"
1510,코웨이Ⅱ 카드,KB국민카드,,"30,000","렌탈 : 코웨이 렌탈료 자동이체 시 1만 5천원~2만원 청구할인
적립: 코웨이 연간리워드 5~10% 포인트리 적립
테마파크: 놀이공원 최대 50% 할인
유의사항: 꼭 확인하세요!"
1511,동부증권해피플러스CMA 삼성체크카드,삼성카드,,,"증권사: 제휴사 기본서비스
경기관람: 프로스포츠 프로모션 서비스
주유: S-OIL 리터당 40 보너스포인트 적립
테마파크: 주요 놀이공원 입장권 및 자유이용권 할인
정비: 닥터카서비스
OTT/영화/문화: 영화 할인
유의사항: 꼭 확인하세요!"
1512,쿠쿠렌탈Ⅱ카드,KB국민카드,"15,000","15,000","렌탈 : 쿠쿠렌탈 자동납부요금 청구할인 최대 1만 7천원
유의사항: 꼭 확인하세요!"
1513,불멸코리아 롯데카드,롯데카드,"5,000","15,000","병원/약국: 각종 질병 검사 비용 20% 할인
공연/전시: 공연및 영화 최대 30% 할인
여행/숙박: 전국펜션 5% 할인
헤어: 미용실 최대 20% 할인
레저/스포츠: 롯데 자이언츠 20% 할인
쇼핑: 롯데멤버스 제휴사 최대 10% 할인
주유: SK주유소 리터당 SK주유포인트 50원적립
멤버십포인트: L.POINT 적립
유의사항: 꼭 확인하세요!
기타: 무료 가족사진 촬영권 제공
유의사항: 꼭 확인하세요!"
1514,쿠쿠렌탈 티타늄카드,KB국민카드,,"20,000","렌탈 : 쿠쿠렌탈 자동이체 할인 서비스 최대 1만 5천원
프리미엄 서비스: 국내전용/K-WORLD/Master 티타늄 서비스
유의사항: 꼭 확인하세요!"
1515,SC은행 삼성애니패스포인트 체크카드,삼성카드,,,"모든가맹점: 0.2%~0.8% 빅포인트 적립
경기관람: 프로스포츠 프로모션 서비스
주유: S-OIL 리터당 40 보너스포인트 적립
OTT/영화/문화: 영화 할인
푸드: 아웃백, 스타벅스 할인
테마파크: 주요 놀이공원 입장권 및 자유이용권 할인
정비: 닥터카서비스
유의사항: 꼭 확인하세요!"
1516,우체국 롯데카드,롯데카드,"15,000","15,000","기타: 우체국 이용 시 10% 할인 및 2~3개월 무이자 할부
기타: 우체국 현금카드 기능 추가
연회비지원: 연회비 면제 및 SMS 무료 서비스
헤어: 미용실 최대 20% 할인
경기관람: 롯데 자이언츠 20% 할인
쇼핑: 쇼핑 최대 10%할인 및 무이자할부 혜택
OTT/영화/문화: 뮤지컬, 연극 등 공연 10~30% 할인
주유소: SK주유소 리터당 SK주유포인트 50원적립
기타: L.POINT 및 SK 주유포인트 적립
유의사항: 꼭 확인하세요!"
1517,디지털멤버십 삼성유포인트카드,삼성카드,"8,000","10,000","모든가맹점: 모든 제휴점 0.5, 삼성전자 3% U포인트 적립
경기관람: 프로스포츠 프로모션 서비스
제휴/PLCC: 삼성전자 우수회원 서비스
주유: S-OIL 리터당 40 보너스포인트 적립
OTT/영화/문화: 영화 할인
정비: 닥터카서비스
테마파크: 주요 놀이공원 입장권 및 자유이용권 할인
카페: 스타벅스 1,000원 할인
유의사항: 꼭 확인하세요!"
1518,위니아만도 롯데카드,롯데카드,"10,000","15,000","쇼핑: 위니아만도 할인 서비스
헤어: 미용실 최대 20% 할인
경기관람: 롯데 자이언츠 20% 할인
쇼핑: 쇼핑 최대 10%할인 및 무이자할부 혜택
OTT/영화/문화: 뮤지컬, 연극 등 공연 10~30% 할인
주유소: SK주유소 리터당 SK주유포인트 50원적립
유의사항: 꼭 확인하세요!"
1519,LG전자 렌탈 플러스 하나카드,하나카드,,"15,000","렌탈 : LG전자 렌탈요금 자동이체 시 13,000원/23,000원 할인
유의사항: 꼭 확인하세요!"
1520,행복한대구경북티타늄카드,KB국민카드,"30,000","30,000","통신: 이동통신 5% 할인
공과금: 도시가스 5% 할인
교통: 대중교통 5% 할인
카페: 커피 5% 할인
편의점: 편의점 5% 할인
대형마트: 마트 5% 할인
주유: 주유 5% 할인
생활: 배달/스트리밍 최대 3천원 할인
약국 2% 할인
캐시백: 지역사랑음식/쇼핑 3천원 캐시백
지역사랑여가 5천원 캐시백
프리미엄 서비스: 국내전용/K-WORLD/VISA 티타늄 서비스
유의사항: 꼭 확인하세요!"
1521,CU big CLASSIC,신협,,,"주유소: 주유소 리터당 40원 할인
병원: 병원ㆍ약국 1천원 할인
헤어: 이ㆍ미용실 1천원 할인
피트니스: 건강ㆍ취미 업종 5% 캐시백
대형마트: 대형마트 5% 캐시백
영화: 영화관 5% 캐시백
카페: 카페 5% 캐시백
도서: 서점 5% 캐시백
유의사항: 꼭 확인하세요!"
1522,쇼핑 그린,신협,,,"전통시장: 전통시장 10% 캐시백
대형마트: 대형할인점 5% 캐시백
패밀리레스토랑: 외식 10% 캐시백
영화: 영화 3천원 할인
기타: 그린카드서비스
유의사항: 꼭 확인하세요!"
1523,L.PAY 하나 체크카드,하나카드,,,"적립: L.PAY 결제/후불교통 2%, 롯데가맹점 0.5% L.POINT 적립
이외 국내 전 가맹점 0.1% L.POINT 적립"
1524,Cubig 청춘,신협,,,"편의점: 편의점 10% 더블캐시백
카페: 커피전문점 10% 더블캐시백
패스트푸드: 패스트푸드 10% 더블캐시백
도서: 도서 5% 캐시백
드럭스토어: CJ올리브영, GS왓슨시, 다이소 5% 캐시백
렌터카: 그린카 5% 캐시백
영화: 영화 티켓 3천원 캐시백
기타: 어학시험 응시료 3천원 캐시백
통신: 이동통신요금 3천원 캐시백
유의사항: 꼭 확인하세요!"
1525,Cubig SIMPLE(하이브리드형),신협,,,"모든가맹점: 적용제한 없이 0.3~0.5% 기본 캐시백
모든가맹점: 주말/공휴일에 결제 시 0.1% 추가 캐시백
하이브리드: 후불교통(하이브리드) 서비스
유의사항: 꼭 확인하세요!"
1526,K리그 축덕 Young Hana 체크카드 with OKcashbag,하나카드,,,"적립: 스타벅스 20%/ 편의점, 영화 10%/ 대중교통, 통신 1천 하나머니 적립
외식, 쇼핑, 어학시험, 어학원 5% 하나머니 적립 
OK캐쉬백: OK캐쉬백 플러스 원클릭 충전 및 자동충전시 1% OK캐쉬백 추가 적립
수수료우대: 해외 ATM 현금인출 수수료 우대
테마파크: 롯데월드, 에버랜드 자유이용권 50% 할인"
1527,KT Super 할부,하나카드,"12,000","15,000","KT: KT라이트할부 이용시 1만원/1만5천원 청구할인
라이트할부 미이용 시 월 5천원 청구할인
카페: 5대 커피업종 5% 청구할인
영화: 영화업종 3,000원 청구할인
기타: 올레콘텐츠박스 이용쿠폰 제공
유의사항: 꼭 확인하세요!"
1528,ROVL 다이아몬드(토탈마일)기업카드,KB국민카드,,"300,000","항공마일리지: 토탈마일리지 적립서비스
항공권: 쿠폰서비스_대한항공 항공권 서비스
여행사: 쿠폰서비스_KB국민카드 여행상품 할인 서비스 
OTT/영화/문화: 쿠폰서비스_영화/공연/워터파크 서비스
여행사: 해외 여행상품 현장 할인 서비스
호텔: 롯데호텔 우대 서비스
도서: 도서 요약 서비스
보험사: 보험 무료가입 서비스
프리미엄: Master Diamond 전용서비스
유의사항: 꼭 확인하세요! "
1529,KT Super DC,하나카드,"12,000","15,000","KT: KT 통신요금 7천원/1만5천원 청구할인
카페: 5대 커피업종 5% 청구할인
영화: 영화업종 3,000원 청구할인
기타: 올레콘텐츠박스 이용쿠폰 제공"
1530,BS렌탈 플러스 하나카드,하나카드,,"15,000","렌탈 : BS렌탈요금 월 1만3천원 / 2만 3천원 할인
유의사항: 꼭 확인하세요!"
1531,Any PLUS SMTOWN &STORE 카드,하나카드,"15,000","15,000","모든가맹점: 국내 가맹점 0.7% 청구할인
국내 온라인 가맹점 1.7% 청구할인
해외: 해외가맹점 1.7% 청구할인
유의사항: 꼭 확인하세요!"
1532,LGU+ 카드의정석 Ⅱ,우리카드,"20,000","20,000","LGU+: LGU+ 통신서비스 요금 7천원/1만3천원 청구할인
LGU+ 단말기 장기할부 서비스
영화: 모든 영화관 3,000원 청구할인
테마파크: 놀이공원 자유이용권 50% 현장할인
유의사항: 꼭 확인하세요!"
1533,동양증권WCMA신세계 삼성애니패스포인트카드,삼성카드,,"5,000","증권사: 유안타 CMA 기본서비스
멤버십포인트: 0.2%~0.8% 빅포인트 적립
백화점: 신세계백화점 5%전자할인 쿠폰 및 무이자할부
대형마트: 이마트 6,000원 할인
멤버십포인트: 신세계백화점·이마트 이용 시 신세계포인트 적립
경기관람: 프로스포츠 경기 할인
테마파크: 주요 놀이공원 입장권 및 자유이용권 할인
푸드: 아웃백, 스타벅스 할인
주유: S-OIL 리터당 40 보너스포인트 적립
정비: 닥터카서비스
영화: 영화 할인
여행/숙박: 삼성카드여행센터 할인
유의사항: 꼭 확인하세요!"
1534,LIG 삼성티클래스앤오일카드,삼성카드,,"10,000","보험: LIG 20,000원·30,000원 결제일할인
무실적: 업종별 0.2~1.2% 빅포인트 적립
주유: S-OIL 리터당 80포인트 적립
패밀리레스토랑: CJ푸드빌, 불고기브라더스 할인
여행/숙박: 삼성카드 여행센터 할인
테마파크: 주요 놀이공원 입장권 및 자유이용권 할인
경기관람: 프로스포츠 프로모션 서비스
교통: 대중교통상해보험 무료가입
무이자할부: 주요 백화점 및 할인점 무이자할부
유의사항: 꼭 확인하세요!"
1535,ENVY 삼성애니패스포인트카드,삼성카드,,"12,000","모든가맹점: 0.2%~0.8% 빅포인트 적립
주유: S-OIL 리터당 40 보너스포인트 적립
푸드: 아웃백, 스타벅스 할인
경기관람: 프로스포츠 경기 할인
테마파크: 주요 놀이공원 입장권 및 자유이용권 할인
OTT/영화/문화: 영화 할인
정비: 닥터카서비스
여행/숙박: 삼성카드여행센터 할인
유의사항: 꼭 확인하세요!"
1536,ENVY 삼성지엔미포인트카드,삼성카드,,"12,000","모든가맹점: 0.2%~0.8% 빅포인트 적립
주유: S-OIL 리터당 40 보너스포인트 적립
푸드: 아웃백, 스타벅스 할인
테마파크: 주요 놀이공원 입장권 및 자유이용권 할인
경기관람: 프로스포츠 프로모션 서비스
무이자할부: 주요 쇼핑가맹점 무이자할부
정비: 닥터카서비스
영화: 영화 할인
헤어: 미용실 할인
여행/숙박: 삼성카드여행센터 할인
유의사항: 꼭 확인하세요!"
1537,D&Style 삼성지엔미포인트카드,삼성카드,,"12,000","모든가맹점: 0.2%~0.8% 빅포인트 적립
주유: S-OIL 리터당 40 보너스포인트 적립
푸드: 아웃백, 스타벅스 할인
테마파크: 주요 놀이공원 입장권 및 자유이용권 할인
경기관람: 프로스포츠 프로모션 서비스
무이자할부: d&SHOP 할인 및 주요 쇼핑가맹점 무이자할부
정비: 닥터카서비스
헤어: 미용실 할인
영화: 영화 할인
유의사항: 꼭 확인하세요!"
1538,D&Life 삼성애니패스포인트카드,삼성카드,,"12,000","모든가맹점: 0.2%~0.8% 빅포인트 적립
주유: S-OIL 리터당 40 보너스포인트 적립
쇼핑: d&SHOP 할인 및 무이자할부
경기관람: 프로스포츠 경기 할인
푸드: 아웃백, 스타벅스 할인
테마파크: 주요 놀이공원 입장권 및 자유이용권 할인
영화: 영화 할인
정비: 닥터카서비스
유의사항: 꼭 확인하세요!"
1539,SC제일은행 삼성카드 BIZ 4 V2,삼성카드,"28,000","30,000","모든가맹점: 전가맹점 0.6% 결제일할인 (BIZ카드)
할인: 할인점·음식점·주유소·병원·약국 1.2% 결제일할인
생활: 5대업종 할인
영화: 모든 영화관 3,000원 결제일할인
경기관람: 프로스포츠 프로모션 서비스
비즈니스: 개인사업지원 서비스
여행/숙박: 아멕스 서비스
유의사항: 꼭 확인하세요!"
1540,비비드레스 롯데카드,롯데카드,"5,000",,"쇼핑: 멋남과 비비드레스 이용 시 5~15% 청구할인
대중교통: 교통요금(버스, 지하철) 최대 7천원 청구할인
연회비지원: 전년도 카드 총 금액 200만원 이상 이용 시 당해년도 연회비 면제 서비스
헤어: 미용실 최대 20% 할인
레저/스포츠: 롯데 자이언츠 20% 할인
쇼핑: 롯데멤버스 제휴사 최대 10% 할인
OTT/영화/문화: 뮤지컬, 연극 등 영화/공연 최대 30% 할인
푸드: 외식 10% 할인
주유: SK주유소 리터당 SK주유포인트 50원적립
유의사항: 꼭 확인하세요!"
1541,사랑의열매 롯데카드,롯데카드,"5,000","8,000","기타: 사용금액 0.5% 후원금 기부 서비스
연회비지원: 차년도 연회비 면제
헤어: 미용실 최대 20% 할인
레저/스포츠: 롯데 자이언츠 20% 할인
쇼핑: 롯데멤버스 제휴사 최대 10% 할인
OTT/영화/문화: 뮤지컬, 연극 등 영화/공연 최대 30% 할인
주유: SK주유소 리터당 SK주유포인트 50원적립
멤버십포인트: L.POINT 적립
유의사항: 꼭 확인하세요!"
