full_name,birth_year,retire_year,G,AB,H,2B,3B,HR,BB,SO,RBI,R,SB,CS,AVG,OBP,SLG,OPS
Addison Russell,1992,2019,615,1987,480,100,9,60,186,532,253,256,17,5,0.241570206,0.306488725,0.391545043,0.698033768
Adeiny HechavarrÏ±†a,1989,2020,922,3071,778,116,36,37,163,550,273,311,35,19,0.253337675,0.290970934,0.350700098,0.641671032
Adley Rutschman,1999,2024,415,1557,407,87,3,52,215,290,201,222,6,2,0.261400128,0.351015801,0.421323057,0.772338859
Admiral Schlei,1881,1911,640,1918,455,52,21,6,172,235,209,195,38,18,0.237226277,0.3,0.295620438,0.595620438
Adolfo Phillips,1942,1972,649,1875,463,86,21,59,251,485,173,270,82,44,0.246933333,0.335841957,0.4096,0.745441957
Adolis GarcÏ±†a,1996,2024,631,2344,560,117,7,122,183,740,384,344,61,17,0.23890785,0.294024535,0.450938567,0.744963102
Adonis GarcÏ±†a,1992,2017,244,896,239,45,0,29,36,151,110,104,7,2,0.266741071,0.295064378,0.4140625,0.709126878
Adonis Terry,1865,1890,256,979,249,24,22,8,66,109,144,142,65,7,0.254341164,0.301435407,0.348314607,0.649750013
Adrian BeltrÏ±?1975,2018,2933,11068,3166,636,38,477,848,1732,1707,1524,121,42,0.286049874,0.336858006,0.479671124,0.81652913,
Adrian Brown,1975,2006,447,1134,293,44,8,11,109,161,86,166,45,15,0.258377425,0.323411102,0.340388007,0.663799109
Adrian Cardenas,1989,2012,45,60,11,6,0,0,7,13,2,5,0,0,0.183333333,0.268656716,0.283333333,0.55199005
Adrian Del Castillo,2001,2024,25,80,25,5,0,4,7,28,19,12,1,1,0.3125,0.367816092,0.525,0.892816092
Adrian Garrett,1946,1976,163,276,51,8,0,11,31,87,37,30,4,0,0.184782609,0.267100977,0.333333333,0.600434311
Adrian Nieto,1991,2014,48,106,25,5,0,2,8,38,7,8,0,1,0.235849057,0.289473684,0.339622642,0.629096326
AdriÏ∞ºn GonzÏ∞ºlez,1981,2018,1929,7139,2050,437,12,317,782,1401,1202,997,6,7,0.287155064,0.357530615,0.484941869,0.842472483
AdriÏ∞ºn Sanchez,1995,2021,106,195,51,11,1,0,6,47,16,22,0,2,0.261538462,0.28358209,0.328205128,0.611787218
Adron Chambers,1988,2013,84,88,19,1,3,0,8,30,9,11,2,2,0.215909091,0.28125,0.295454545,0.576704545
Agustin Bejerano,1905,1929,47,185,54,6,1,1,11,38,25,29,3,5,0.291891892,0.331632653,0.351351351,0.682984004
Agustin Parpetti,1899,1923,25,73,20,1,0,1,4,37,14,8,4,5,0.273972603,0.311688312,0.328767123,0.640455435
Akil Baddoo,1998,2024,340,999,226,38,12,28,119,302,103,137,42,13,0.226226226,0.308586762,0.372372372,0.680959134
