full_name,birth_year,retire_year,G,AB,H,2B,3B,HR,BB,SO,RBI,R,SB,CS,AVG,OBP,SLG,OPS
서성민,1976,2002,36,46,5,0,0,1,2,16,1,3,1,0,0.109,0.146,0.174,0.32
서예일,1993,2024,169,123,24,5,0,0,9,34,7,18,0,0,0.195,0.25,0.236,0.486
서용빈,1971,2006,828,2625,760,139,22,22,238,353,350,307,31,19,0.29,0.349,0.384,0.733
서일권,1961,1991,75,88,18,4,0,0,9,24,6,12,3,1,0.205,0.278,0.25,0.528
서정민,1969,1995,63,112,26,1,1,2,6,34,9,16,3,2,0.232,0.271,0.312,0.584
서정호,1981,2009,24,44,8,0,0,2,4,15,4,6,2,0,0.182,0.25,0.318,0.568
서정환,1955,1989,716,2277,609,75,9,22,213,265,199,285,136,71,0.267,0.33,0.337,0.667
서창기,1965,1992,203,373,76,19,4,2,51,97,40,37,2,5,0.204,0.3,0.292,0.592
서튼,1970,2007,246,861,241,43,3,56,166,198,173,140,0,2,0.28,0.396,0.532,0.928
서한규,1973,2007,457,632,142,15,6,4,62,121,48,93,21,4,0.225,0.294,0.286,0.58
서효인,1962,1995,306,488,101,13,2,10,61,101,56,38,4,4,0.207,0.295,0.303,0.598
석수철,1973,1996,114,289,77,16,1,3,17,45,32,32,4,2,0.266,0.307,0.36,0.667
성군철,1968,1992,156,144,29,4,1,1,8,31,15,42,15,9,0.201,0.243,0.264,0.507
성의준,1989,2017,53,43,7,2,0,1,4,13,6,5,0,1,0.163,0.234,0.279,0.513
소상영,1973,1997,91,176,30,7,1,2,18,40,12,14,1,1,0.17,0.247,0.256,0.503
소크라테스,1992,2024,409,1613,487,90,13,63,127,252,270,266,40,18,0.302,0.353,0.491,0.844
손길호,1967,1991,109,164,24,3,1,1,15,18,16,11,3,6,0.146,0.218,0.195,0.413
손동일,1971,1999,203,461,92,18,1,10,33,130,40,58,12,6,0.2,0.253,0.308,0.561
손상대,1954,1985,33,31,6,1,0,0,3,11,3,1,1,0,0.194,0.265,0.226,0.491
손상득,1956,1988,236,381,89,6,4,2,20,57,35,51,14,5,0.234,0.272,0.286,0.558
손시헌,1980,2019,1559,4657,1265,224,25,70,430,693,550,546,31,24,0.272,0.333,0.376,0.709
손용석,1987,2016,235,363,95,16,1,0,22,76,41,32,1,1,0.262,0.304,0.311,0.615
손인호,1975,2012,908,2257,593,122,13,24,226,409,242,235,17,16,0.263,0.33,0.36,0.69
손주인,1983,2019,1007,2362,635,99,8,21,184,344,232,286,29,23,0.269,0.322,0.344,0.666
손지환,1978,2010,908,2044,493,82,4,47,112,246,217,230,16,19,0.241,0.281,0.354,0.635
손차훈,1970,2001,486,1104,246,50,2,10,62,158,84,108,10,14,0.223,0.264,0.299,0.563
송경섭,1960,1982,53,152,30,9,1,2,12,41,20,9,2,1,0.197,0.256,0.309,0.565
송광민,1983,2020,1060,3601,1029,181,5,111,192,812,530,489,30,17,0.286,0.322,0.431,0.753
송구홍,1968,2000,712,2287,622,105,10,42,148,253,235,314,97,39,0.272,0.316,0.382,0.698
송산,1982,2012,247,423,95,12,0,7,29,97,55,37,5,5,0.225,0.274,0.303,0.577
송영운,1952,1988,354,817,214,30,4,2,103,87,83,80,20,19,0.262,0.345,0.316,0.66
송우현,1996,2021,83,262,74,17,2,3,30,53,42,37,1,1,0.282,0.356,0.397,0.753
송원국,1979,2002,81,146,39,7,0,6,8,28,28,19,4,0,0.267,0.305,0.438,0.744
송인호,1968,1997,430,986,200,32,1,14,92,221,77,87,50,33,0.203,0.271,0.28,0.551
송일섭,1959,1990,621,1512,389,73,4,39,170,227,163,183,15,14,0.257,0.332,0.388,0.721
송일수,1950,1986,160,351,78,13,2,4,22,40,40,38,2,7,0.222,0.268,0.305,0.573
송재박,1956,1991,248,654,177,32,5,16,86,100,95,73,5,3,0.271,0.355,0.408,0.764
송재익,1974,2004,486,490,89,17,4,6,56,157,53,77,26,10,0.182,0.266,0.269,0.535
송주호,1988,2016,199,240,40,6,0,1,16,63,12,31,7,5,0.167,0.219,0.204,0.423
송준석,1994,2023,105,189,44,10,0,4,8,39,17,20,0,0,0.233,0.264,0.349,0.613
송지만,1973,2013,1938,6620,1870,327,28,311,691,1451,1030,1019,165,102,0.282,0.35,0.481,0.832
송진호,1957,1982,41,80,11,2,0,1,2,18,7,11,3,2,0.138,0.159,0.2,0.359
송태일,1970,1996,215,541,122,26,1,15,26,82,69,49,7,2,0.226,0.261,0.36,0.621
스나이더,1982,2015,150,531,142,33,1,30,46,166,88,105,4,4,0.267,0.326,0.503,0.829
스몰린스키,1989,2019,55,205,47,14,1,9,16,31,42,32,3,1,0.229,0.285,0.439,0.724
스미스,1969,2000,241,831,239,47,2,75,78,220,198,141,1,2,0.288,0.349,0.62,0.968
스미스,1970,2005,30,100,22,3,0,6,7,25,19,11,0,0,0.22,0.271,0.43,0.701
스캇,1975,2006,48,153,25,1,1,6,10,37,14,10,0,0,0.163,0.215,0.301,0.515
스캇,1978,2014,33,105,28,7,0,6,20,18,17,17,0,0,0.267,0.384,0.505,0.889
스크럭스,1987,2018,257,938,260,59,0,61,120,278,208,166,7,2,0.277,0.359,0.535,0.894
시오타니,1974,2006,23,91,27,4,0,3,7,12,19,15,1,0,0.297,0.347,0.44,0.786
신경식,1961,1995,1366,4650,1282,208,38,56,384,347,559,559,155,77,0.276,0.331,0.373,0.704
신경현,1975,2012,976,2359,595,95,6,31,218,437,224,236,29,24,0.252,0.315,0.337,0.652
신국환,1972,2002,469,1171,301,59,4,23,69,179,160,169,19,14,0.257,0.298,0.373,0.672
신동주,1972,2006,1041,2904,791,139,9,110,238,629,415,448,122,51,0.272,0.327,0.44,0.768
신명철,1978,2015,1212,3198,771,127,21,54,295,642,334,396,130,65,0.241,0.305,0.345,0.65
신본기,1989,2024,1000,2193,541,86,2,31,209,473,260,294,21,20,0.247,0.312,0.33,0.642
신성현,1990,2023,287,442,96,14,1,16,53,160,59,75,2,5,0.217,0.301,0.362,0.663
신언호,1955,1990,728,2013,487,77,12,18,139,205,211,183,42,33,0.242,0.291,0.319,0.61
신윤후,1996,2024,209,270,58,9,4,4,17,55,19,44,8,3,0.215,0.261,0.322,0.584
신종길,1983,2017,768,2032,554,104,30,28,160,484,223,322,132,43,0.273,0.326,0.395,0.72
신주일,1977,2004,53,69,19,1,0,0,6,10,7,12,4,2,0.275,0.333,0.29,0.623
신준우,2001,2024,157,103,15,6,0,0,11,45,4,17,0,1,0.146,0.228,0.204,0.432
신진수,1972,1998,159,292,60,17,0,1,26,55,19,39,7,4,0.205,0.27,0.274,0.544
신진호,1991,2018,29,34,5,1,0,0,3,15,1,2,0,0,0.147,0.216,0.176,0.393
신현철,1987,2016,125,133,31,7,0,1,12,40,8,18,1,0,0.233,0.297,0.308,0.605
심광호,1977,2012,512,815,176,28,2,27,50,237,95,74,8,3,0.216,0.261,0.355,0.616
심성보,1973,2003,758,2126,547,111,16,63,179,400,321,258,33,23,0.257,0.315,0.413,0.728
심재원,1953,1991,552,1128,240,27,1,10,88,143,90,102,21,9,0.213,0.27,0.265,0.535
심재윤,1975,2001,140,159,35,6,1,9,15,53,20,28,2,2,0.22,0.287,0.44,0.728
심재학,1972,2008,1247,3704,995,193,14,149,617,558,622,539,25,23,0.269,0.373,0.449,0.822
심정수,1975,2008,1450,5050,1451,232,14,328,777,1073,1029,859,43,22,0.287,0.382,0.534,0.916
아두치,1985,2016,196,773,237,52,8,35,73,177,147,151,39,12,0.307,0.366,0.53,0.897
아수아헤,1991,2019,49,163,41,5,4,2,26,24,21,34,4,2,0.252,0.354,0.368,0.723
안경현,1970,2010,1766,5405,1483,265,20,121,548,639,722,639,37,23,0.274,0.341,0.398,0.739
안권수,1993,2023,326,586,163,13,4,2,61,88,56,112,24,12,0.278,0.346,0.324,0.67
안대환,1962,1993,390,483,104,21,6,8,38,75,48,83,26,21,0.215,0.273,0.333,0.606
안명성,1973,1997,91,86,13,0,0,1,6,26,1,13,6,3,0.151,0.207,0.186,0.393
안명호,1971,1993,81,82,13,2,0,0,5,26,1,6,0,1,0.159,0.207,0.183,0.39
안민석,1966,1989,29,40,7,0,0,0,5,5,1,6,1,3,0.175,0.267,0.175,0.442
안상준,1973,2007,509,1189,283,40,7,13,94,240,111,133,15,5,0.238,0.294,0.316,0.61
안승한,1992,2024,92,109,24,4,0,0,5,36,14,10,1,0,0.22,0.254,0.257,0.511
안언학,1962,1991,130,269,53,9,0,1,22,62,21,21,1,0,0.197,0.258,0.242,0.499
안익훈,1996,2024,398,537,148,14,2,1,46,76,38,86,7,5,0.276,0.333,0.315,0.647
안재만,1974,2008,584,1365,330,74,3,40,136,374,176,174,53,22,0.242,0.31,0.388,0.699
안재석,2002,2023,222,499,113,20,3,6,38,136,36,58,7,0,0.226,0.281,0.315,0.596
안정광,1989,2015,46,81,16,2,0,0,6,25,8,6,1,2,0.198,0.253,0.222,0.475
안치용,1979,2013,528,1226,314,56,5,32,165,313,169,167,25,5,0.256,0.344,0.388,0.733
안태영,1985,2014,53,97,29,8,0,2,8,35,12,15,1,0,0.299,0.352,0.443,0.796
안희봉,1972,2001,43,68,16,2,0,3,3,22,12,4,0,0,0.235,0.268,0.397,0.665
알드리지,1979,2011,117,414,98,20,1,20,59,139,73,55,6,2,0.237,0.332,0.435,0.767
알몬테,1989,2021,60,225,61,9,0,7,22,50,36,18,1,0,0.271,0.336,0.404,0.74
알칸트라,1971,2004,116,422,112,16,2,22,46,104,69,57,0,2,0.265,0.338,0.469,0.807
알테어,1991,2021,279,974,268,39,9,63,103,305,192,173,42,8,0.275,0.344,0.528,0.872
알포드,1994,2023,213,774,223,50,4,29,80,230,120,131,22,5,0.288,0.355,0.475,0.83
얀,1966,2001,106,330,89,18,0,17,52,88,62,52,1,1,0.27,0.369,0.479,0.848
양성우,1989,2020,406,1168,295,53,5,9,123,209,115,150,17,8,0.253,0.324,0.33,0.653
양세종,1958,1990,492,1490,403,64,11,27,114,157,199,166,36,32,0.27,0.322,0.383,0.705
양승관,1959,1990,446,1334,330,66,6,31,99,202,155,150,14,19,0.247,0.299,0.376,0.675
양승학,1984,2009,47,93,24,5,0,4,7,29,12,12,0,0,0.258,0.31,0.441,0.751
